hour,day_of_week,weather,road_id,road_type,vehicle_count,is_weekend,congestion_level
10,Saturday,Foggy,R1,arterial,170,1,High
7,Saturday,Rainy,R1,arterial,128,1,High
3,Sunday,Clear,R8,highway,32,1,Low
1,Wednesday,Clear,R4,local,3,0,Low
7,Friday,Foggy,R3,local,82,0,High
5,Monday,Stormy,R6,highway,87,0,Low
15,Friday,Cloudy,R7,highway,170,0,Low
8,Saturday,Clear,R3,highway,212,1,Low
21,Friday,Cloudy,R5,arterial,63,0,Low
9,Saturday,Foggy,R4,arterial,96,1,Medium
6,Thursday,Foggy,R7,local,27,0,Low
18,Wednesday,Rainy,R6,arterial,200,0,High
8,Monday,Stormy,R3,arterial,202,0,High
19,Saturday,Foggy,R7,arterial,110,1,Medium
7,Friday,Rainy,R4,arterial,196,0,High
21,Sunday,Cloudy,R1,arterial,82,1,Medium
1,Wednesday,Foggy,R3,local,2,0,Low
2,Wednesday,Rainy,R1,arterial,23,0,Low
17,Wednesday,Stormy,R1,arterial,197,0,High
8,Sunday,Foggy,R6,highway,285,1,Medium
3,Thursday,Clear,R4,arterial,13,0,Low
23,Saturday,Foggy,R7,arterial,117,1,Medium
2,Sunday,Foggy,R7,arterial,8,1,Low
11,Saturday,Rainy,R3,highway,435,1,High
3,Saturday,Cloudy,R8,arterial,15,1,Low
10,Friday,Cloudy,R8,highway,227,0,Medium
22,Wednesday,Foggy,R4,highway,176,0,Medium
9,Thursday,Clear,R5,arterial,157,0,Medium
12,Thursday,Rainy,R2,local,69,0,High
13,Friday,Cloudy,R6,highway,349,0,Medium
19,Thursday,Rainy,R7,highway,493,0,High
14,Tuesday,Rainy,R1,highway,194,0,Medium
20,Wednesday,Clear,R6,highway,171,0,Low
14,Monday,Cloudy,R8,arterial,91,0,Medium
1,Sunday,Rainy,R3,local,1,1,Low
6,Monday,Stormy,R1,highway,238,0,Medium
10,Sunday,Cloudy,R6,highway,362,1,Medium
4,Tuesday,Stormy,R4,arterial,13,0,Low
0,Tuesday,Clear,R5,arterial,15,0,Low
10,Monday,Cloudy,R4,arterial,65,0,Low
16,Monday,Clear,R6,arterial,76,0,Low
18,Monday,Foggy,R2,highway,504,0,High
23,Sunday,Stormy,R6,arterial,89,1,Medium
1,Thursday,Foggy,R4,local,3,0,Low
14,Monday,Clear,R4,highway,161,0,Low
8,Friday,Stormy,R1,arterial,198,0,High
16,Wednesday,Foggy,R5,local,38,0,Medium
22,Monday,Stormy,R6,arterial,134,0,High
7,Thursday,Rainy,R2,highway,498,0,High
3,Wednesday,Foggy,R6,highway,35,0,Low
21,Thursday,Clear,R4,local,17,0,Low
3,Saturday,Rainy,R8,highway,61,1,Low
17,Friday,Rainy,R4,arterial,199,0,High
13,Sunday,Clear,R6,arterial,139,1,Medium
3,Friday,Stormy,R6,arterial,17,0,Low
3,Wednesday,Stormy,R5,highway,53,0,Low
7,Sunday,Foggy,R2,highway,272,1,Medium
19,Saturday,Stormy,R8,local,30,1,Medium
8,Monday,Cloudy,R1,arterial,179,0,High
11,Monday,Cloudy,R4,arterial,103,0,Medium
2,Tuesday,Clear,R4,highway,19,0,Low
13,Thursday,Rainy,R1,arterial,144,0,High
18,Friday,Clear,R2,local,66,0,High
19,Monday,Clear,R1,local,61,0,Medium
19,Thursday,Foggy,R7,highway,493,0,High
11,Thursday,Clear,R7,arterial,65,0,Low
16,Saturday,Rainy,R7,highway,146,1,Low
1,Monday,Cloudy,R5,local,2,0,Low
8,Wednesday,Rainy,R2,local,79,0,High
5,Tuesday,Foggy,R8,highway,47,0,Low
21,Sunday,Rainy,R8,highway,156,1,Low
13,Monday,Foggy,R6,arterial,169,0,High
13,Friday,Foggy,R2,highway,393,0,High
12,Monday,Rainy,R7,arterial,151,0,High
22,Wednesday,Clear,R3,highway,175,0,Low
18,Thursday,Stormy,R8,highway,503,0,High
10,Tuesday,Rainy,R8,highway,307,0,High
3,Friday,Stormy,R2,local,8,0,Low
23,Sunday,Cloudy,R5,arterial,53,1,Low
5,Friday,Cloudy,R2,highway,55,0,Low
20,Thursday,Foggy,R7,highway,287,0,Medium
21,Friday,Stormy,R2,highway,269,0,High
4,Thursday,Clear,R1,local,7,0,Low
8,Friday,Clear,R6,arterial,159,0,Medium
14,Monday,Clear,R4,highway,168,0,Low
2,Friday,Stormy,R3,local,9,0,Low
23,Monday,Foggy,R7,highway,310,0,High
10,Friday,Foggy,R1,highway,248,0,Medium
3,Sunday,Rainy,R2,highway,64,1,Low
5,Monday,Cloudy,R3,local,13,0,Low
16,Friday,Cloudy,R4,highway,191,0,Low
13,Sunday,Rainy,R2,highway,440,1,High
20,Wednesday,Clear,R1,local,27,0,Low
9,Wednesday,Stormy,R2,highway,498,0,High
21,Tuesday,Rainy,R3,highway,230,0,Medium
12,Tuesday,Stormy,R5,arterial,189,0,High
12,Saturday,Rainy,R8,highway,465,1,High
21,Friday,Clear,R7,local,32,0,Low
0,Wednesday,Rainy,R7,arterial,10,0,Low
15,Tuesday,Cloudy,R3,arterial,106,0,Medium
3,Friday,Stormy,R6,local,17,0,Low
21,Wednesday,Stormy,R5,arterial,89,0,Medium
5,Sunday,Stormy,R5,highway,65,1,Low
1,Thursday,Rainy,R1,highway,60,0,Low
19,Wednesday,Foggy,R1,highway,482,0,High
15,Sunday,Cloudy,R5,arterial,68,1,Low
14,Sunday,Rainy,R1,highway,458,1,High
5,Sunday,Cloudy,R6,arterial,15,1,Low
1,Saturday,Foggy,R1,arterial,24,1,Low
22,Sunday,Stormy,R6,arterial,129,1,High
5,Wednesday,Foggy,R2,arterial,25,0,Low
2,Tuesday,Foggy,R8,highway,75,0,Low
1,Thursday,Stormy,R6,arterial,19,0,Low
11,Tuesday,Clear,R3,arterial,61,0,Low
20,Wednesday,Cloudy,R4,highway,154,0,Low
22,Sunday,Cloudy,R5,highway,214,1,Medium
0,Monday,Clear,R7,local,7,0,Low
23,Friday,Stormy,R7,highway,287,0,High
9,Monday,Clear,R7,highway,400,0,High
14,Monday,Clear,R8,local,36,0,Medium
0,Saturday,Stormy,R5,highway,58,1,Low
13,Monday,Stormy,R6,local,71,0,High
21,Saturday,Clear,R8,highway,164,1,Low
17,Friday,Stormy,R4,highway,498,0,High
1,Saturday,Foggy,R5,highway,61,1,Low
11,Sunday,Clear,R3,local,47,1,Medium
3,Sunday,Stormy,R1,local,8,1,Low
11,Friday,Rainy,R6,arterial,123,0,High
21,Thursday,Foggy,R4,arterial,109,0,Medium
22,Sunday,Foggy,R1,arterial,51,1,Low
6,Monday,Rainy,R6,arterial,135,0,High
15,Wednesday,Clear,R6,highway,216,0,Low
1,Sunday,Rainy,R6,arterial,16,1,Low
12,Saturday,Foggy,R8,highway,440,1,High
15,Saturday,Foggy,R8,highway,192,1,Medium
2,Saturday,Foggy,R3,arterial,10,1,Low
17,Wednesday,Rainy,R8,highway,498,0,High
9,Thursday,Stormy,R6,local,76,0,High
11,Thursday,Clear,R1,highway,219,0,Low
13,Wednesday,Clear,R7,local,42,0,Medium
16,Sunday,Cloudy,R7,arterial,92,1,Medium
21,Sunday,Foggy,R6,arterial,49,1,Low
20,Wednesday,Rainy,R4,arterial,97,0,Medium
4,Saturday,Foggy,R6,arterial,23,1,Low
2,Friday,Cloudy,R2,arterial,16,0,Low
8,Tuesday,Clear,R4,arterial,147,0,Medium
12,Friday,Clear,R3,highway,267,0,Medium
6,Friday,Rainy,R2,highway,301,0,High
3,Tuesday,Clear,R2,highway,39,0,Low
2,Sunday,Rainy,R1,highway,55,1,Low
17,Wednesday,Rainy,R7,highway,502,0,High
20,Tuesday,Rainy,R2,highway,260,0,Medium
4,Tuesday,Foggy,R2,highway,21,0,Low
14,Sunday,Stormy,R8,arterial,172,1,High
9,Thursday,Foggy,R1,arterial,202,0,High
2,Tuesday,Rainy,R2,highway,60,0,Low
16,Wednesday,Cloudy,R8,arterial,106,0,Medium
18,Tuesday,Cloudy,R2,local,73,0,High
3,Friday,Cloudy,R8,arterial,9,0,Low
7,Wednesday,Stormy,R3,highway,503,0,High
6,Saturday,Stormy,R1,arterial,16,1,Low
17,Monday,Stormy,R7,local,80,0,High
4,Tuesday,Stormy,R3,highway,76,0,Low
1,Sunday,Clear,R1,highway,22,1,Low
18,Wednesday,Cloudy,R3,arterial,186,0,High
0,Thursday,Stormy,R2,local,11,0,Low
7,Sunday,Foggy,R6,highway,174,1,Medium
5,Thursday,Foggy,R8,arterial,16,0,Low
4,Wednesday,Rainy,R6,arterial,30,0,Low
4,Sunday,Rainy,R4,highway,42,1,Low
14,Monday,Rainy,R7,highway,250,0,Medium
9,Thursday,Stormy,R7,arterial,204,0,High
10,Friday,Rainy,R5,highway,204,0,Medium
14,Thursday,Rainy,R2,highway,257,0,Medium
16,Thursday,Cloudy,R3,arterial,65,0,Low
9,Thursday,Stormy,R7,arterial,201,0,High
9,Friday,Clear,R5,highway,459,0,High
23,Wednesday,Foggy,R2,arterial,87,0,Medium
17,Tuesday,Rainy,R1,highway,495,0,High
14,Sunday,Stormy,R1,highway,449,1,High
19,Monday,Cloudy,R8,arterial,195,0,High
10,Friday,Rainy,R6,arterial,119,0,High
12,Friday,Clear,R2,highway,249,0,Medium
15,Friday,Foggy,R3,local,33,0,Medium
10,Friday,Rainy,R2,local,37,0,Medium
9,Friday,Rainy,R7,local,80,0,High
22,Friday,Rainy,R7,highway,253,0,Medium
21,Monday,Foggy,R3,local,44,0,Medium
22,Saturday,Clear,R5,highway,172,1,Low
18,Friday,Cloudy,R4,arterial,186,0,High
16,Saturday,Stormy,R6,highway,313,1,High
7,Monday,Stormy,R8,arterial,196,0,High
14,Wednesday,Foggy,R3,local,31,0,Medium
16,Sunday,Stormy,R5,arterial,141,1,High
23,Monday,Cloudy,R7,local,34,0,Medium
15,Friday,Foggy,R5,arterial,82,0,Medium
10,Friday,Rainy,R5,highway,296,0,High
20,Sunday,Rainy,R8,arterial,95,1,Medium
8,Friday,Rainy,R8,highway,504,0,High
9,Saturday,Cloudy,R7,local,32,1,Low
11,Friday,Rainy,R6,highway,226,0,Medium
12,Thursday,Rainy,R6,highway,453,0,High
1,Wednesday,Clear,R6,local,4,0,Low
23,Thursday,Cloudy,R1,arterial,66,0,Low
22,Wednesday,Cloudy,R8,highway,154,0,Low
7,Monday,Stormy,R7,highway,497,0,High
13,Wednesday,Foggy,R5,arterial,136,0,High
17,Tuesday,Foggy,R1,local,83,0,High
15,Saturday,Cloudy,R5,highway,211,1,Medium
20,Monday,Clear,R5,arterial,79,0,Low
23,Sunday,Clear,R7,local,31,1,Low
1,Sunday,Foggy,R7,highway,52,1,Low
9,Monday,Clear,R8,highway,405,0,High
9,Thursday,Stormy,R3,local,83,0,High
16,Thursday,Rainy,R2,local,29,0,Medium
23,Thursday,Rainy,R5,highway,295,0,High
9,Friday,Cloudy,R4,arterial,176,0,High
13,Friday,Rainy,R4,highway,360,0,High
4,Thursday,Rainy,R8,highway,75,0,Low
7,Thursday,Rainy,R2,highway,498,0,High
18,Monday,Rainy,R5,highway,501,0,High
21,Monday,Foggy,R8,arterial,83,0,Medium
22,Sunday,Rainy,R1,highway,262,1,Medium
11,Friday,Cloudy,R6,local,23,0,Low
14,Saturday,Stormy,R4,local,75,1,High
17,Sunday,Cloudy,R5,highway,216,1,Medium
2,Friday,Foggy,R5,local,6,0,Low
3,Monday,Stormy,R1,highway,86,0,Low
4,Tuesday,Rainy,R5,highway,74,0,Low
6,Saturday,Stormy,R8,arterial,24,1,Low
1,Thursday,Cloudy,R2,highway,41,0,Low
17,Thursday,Rainy,R8,arterial,198,0,High
23,Tuesday,Stormy,R1,local,33,0,Medium
2,Friday,Clear,R2,highway,52,0,Low
1,Wednesday,Foggy,R5,highway,26,0,Low
23,Saturday,Foggy,R3,local,34,1,Medium
12,Thursday,Clear,R2,highway,302,0,Medium
4,Saturday,Rainy,R6,highway,31,1,Low
16,Tuesday,Cloudy,R3,arterial,103,0,Medium
14,Saturday,Stormy,R7,local,73,1,High
7,Thursday,Rainy,R6,highway,496,0,High
3,Monday,Foggy,R5,highway,59,0,Low
7,Tuesday,Clear,R3,local,56,0,Medium
21,Saturday,Clear,R5,local,16,1,Low
7,Friday,Cloudy,R1,highway,498,0,High
16,Wednesday,Cloudy,R2,local,42,0,Medium
18,Friday,Rainy,R1,local,83,0,High
16,Tuesday,Foggy,R5,arterial,80,0,Medium
23,Tuesday,Foggy,R4,arterial,96,0,Medium
20,Saturday,Foggy,R5,arterial,101,1,Medium
13,Tuesday,Rainy,R6,arterial,158,0,High
7,Sunday,Cloudy,R5,highway,153,1,Low
1,Friday,Foggy,R4,highway,76,0,Low
12,Tuesday,Rainy,R2,local,60,0,High
11,Monday,Stormy,R2,highway,341,0,High
12,Saturday,Stormy,R3,arterial,202,1,High
18,Saturday,Stormy,R1,highway,200,1,Medium
9,Monday,Cloudy,R3,local,84,0,High
23,Sunday,Foggy,R8,arterial,113,1,Medium
6,Thursday,Cloudy,R3,highway,216,0,Medium
14,Friday,Rainy,R1,arterial,90,0,Medium
14,Monday,Foggy,R8,highway,284,0,Medium
11,Wednesday,Foggy,R3,highway,173,0,Low
4,Monday,Rainy,R7,local,9,0,Low
13,Wednesday,Cloudy,R5,highway,288,0,Medium
7,Thursday,Stormy,R1,highway,501,0,High
15,Saturday,Foggy,R1,arterial,84,1,Medium
5,Tuesday,Stormy,R6,arterial,27,0,Low
20,Monday,Stormy,R6,highway,210,0,Medium
1,Sunday,Clear,R6,arterial,15,1,Low
2,Saturday,Cloudy,R6,highway,16,1,Low
1,Friday,Stormy,R8,arterial,37,0,Low
0,Friday,Stormy,R3,local,3,0,Low
8,Friday,Rainy,R5,highway,503,0,High
13,Sunday,Cloudy,R7,arterial,110,1,Medium
7,Tuesday,Stormy,R4,local,83,0,High
12,Monday,Rainy,R3,arterial,179,0,High
22,Tuesday,Rainy,R8,highway,298,0,High
20,Sunday,Clear,R4,arterial,43,1,Low
15,Monday,Clear,R7,highway,208,0,Low
20,Sunday,Rainy,R8,highway,242,1,Medium
16,Monday,Cloudy,R5,arterial,70,0,Low
15,Wednesday,Clear,R1,highway,242,0,Medium
17,Friday,Clear,R4,arterial,150,0,Medium
6,Friday,Cloudy,R3,local,40,0,Medium
2,Wednesday,Cloudy,R3,arterial,18,0,Low
21,Friday,Rainy,R2,highway,244,0,Medium
22,Saturday,Clear,R6,arterial,69,1,Low
3,Thursday,Cloudy,R7,arterial,21,0,Low
19,Friday,Foggy,R3,arterial,198,0,High
8,Sunday,Foggy,R2,local,32,1,Medium
13,Tuesday,Stormy,R1,arterial,187,0,High
9,Sunday,Cloudy,R8,local,29,1,Low
12,Saturday,Cloudy,R4,local,55,1,Medium
2,Monday,Rainy,R6,arterial,22,0,Low
4,Monday,Cloudy,R6,arterial,15,0,Low
13,Monday,Clear,R2,highway,257,0,Medium
19,Sunday,Rainy,R5,local,41,1,Medium
12,Sunday,Clear,R5,arterial,129,1,Medium
18,Friday,Cloudy,R8,highway,457,0,High
9,Wednesday,Foggy,R3,arterial,196,0,High
13,Wednesday,Foggy,R4,arterial,159,0,High
23,Saturday,Foggy,R8,highway,223,1,Medium
4,Wednesday,Clear,R6,arterial,21,0,Low
12,Sunday,Rainy,R8,local,65,1,High
19,Tuesday,Rainy,R4,arterial,204,0,High
15,Wednesday,Cloudy,R2,highway,274,0,Medium
23,Saturday,Foggy,R6,local,48,1,Medium
12,Wednesday,Foggy,R2,local,62,0,High
18,Friday,Cloudy,R2,highway,460,0,High
14,Saturday,Cloudy,R6,highway,321,1,Medium
2,Sunday,Foggy,R1,arterial,16,1,Low
7,Wednesday,Cloudy,R7,local,81,0,High
14,Friday,Foggy,R2,local,41,0,Medium
13,Friday,Clear,R1,arterial,122,0,Medium
19,Saturday,Clear,R5,highway,111,1,Low
11,Tuesday,Stormy,R6,arterial,88,0,Medium
20,Thursday,Rainy,R7,arterial,136,0,High
3,Wednesday,Cloudy,R2,local,6,0,Low
22,Friday,Cloudy,R3,highway,197,0,Low
21,Friday,Stormy,R3,arterial,97,0,Medium
3,Wednesday,Foggy,R6,highway,69,0,Low
4,Wednesday,Rainy,R6,highway,45,0,Low
15,Wednesday,Foggy,R3,highway,180,0,Medium
10,Monday,Rainy,R2,highway,184,0,Medium
10,Saturday,Clear,R3,local,47,1,Medium
7,Friday,Cloudy,R7,local,74,0,High
14,Tuesday,Foggy,R7,highway,261,0,Medium
13,Thursday,Clear,R5,arterial,125,0,Medium
18,Thursday,Foggy,R2,highway,452,0,High
22,Sunday,Clear,R4,arterial,71,1,Low
5,Wednesday,Rainy,R5,highway,29,0,Low
15,Friday,Rainy,R6,arterial,112,0,Medium
3,Wednesday,Rainy,R4,arterial,30,0,Low
22,Sunday,Rainy,R7,arterial,121,1,High
4,Wednesday,Clear,R7,arterial,6,0,Low
22,Tuesday,Stormy,R8,arterial,112,0,High
12,Thursday,Cloudy,R2,highway,315,0,Medium
5,Friday,Cloudy,R3,local,2,0,Low
14,Friday,Clear,R1,local,41,0,Medium
4,Tuesday,Foggy,R7,highway,75,0,Low
13,Saturday,Foggy,R8,highway,382,1,High
5,Monday,Stormy,R7,highway,28,0,Low
1,Wednesday,Cloudy,R6,local,3,0,Low
18,Saturday,Foggy,R3,highway,215,1,Medium
8,Sunday,Stormy,R7,arterial,128,1,High
1,Sunday,Foggy,R1,local,11,1,Low
23,Sunday,Cloudy,R6,arterial,65,1,Low
8,Wednesday,Clear,R2,highway,423,0,High
7,Tuesday,Stormy,R4,arterial,203,0,High
20,Thursday,Cloudy,R7,local,38,0,Medium
1,Friday,Rainy,R3,highway,55,0,Low
10,Saturday,Rainy,R6,highway,388,1,High
21,Sunday,Clear,R2,highway,119,1,Low
1,Wednesday,Cloudy,R5,arterial,16,0,Low
22,Wednesday,Cloudy,R3,local,40,0,Medium
4,Friday,Rainy,R7,highway,59,0,Low
20,Sunday,Clear,R2,local,26,1,Low
11,Thursday,Foggy,R1,arterial,81,0,Medium
23,Monday,Foggy,R4,arterial,108,0,Medium
17,Thursday,Cloudy,R1,arterial,199,0,High
8,Wednesday,Rainy,R8,highway,500,0,High
15,Sunday,Rainy,R1,highway,299,1,High
3,Saturday,Foggy,R6,arterial,12,1,Low
14,Thursday,Clear,R5,highway,248,0,Medium
4,Saturday,Rainy,R1,arterial,15,1,Low
2,Saturday,Rainy,R4,arterial,12,1,Low
5,Monday,Foggy,R4,arterial,24,0,Low
7,Thursday,Clear,R1,local,66,0,High
2,Tuesday,Stormy,R6,highway,42,0,Low
0,Saturday,Rainy,R2,local,14,1,Low
22,Tuesday,Foggy,R7,highway,172,0,Low
3,Monday,Rainy,R6,highway,42,0,Low
4,Saturday,Cloudy,R1,arterial,8,1,Low
